what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002505855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002512403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002516100
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711002520016
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002520322
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002520326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002523532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002525348
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1711002525670
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002527785
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711002528291
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002532436
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711002552432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1711002563192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1711002564372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1711002572086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002575596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002576390
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1711002576402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002576783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002577647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002577971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002580005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002586682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002590411
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711002592946
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002593285
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002593287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002595369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002597159
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1711002597447
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002599510
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711002599976
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002604145
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711002619497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1711002620143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1711002620374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1711002620622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1711002620982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1711002621325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1711002621774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1711002622155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1711002622536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1711002622892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1711002627667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002630908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002631711
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1711002631722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002632102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002633007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002633338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002635342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002642085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002645803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002646077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002646793
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711002655786
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002656102
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002656104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002658637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002660492
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1711002660778
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002662805
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711002663255
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711002667437
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1711002687778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1711002690211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002692640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002693436
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1711002693445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002693823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002694730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002695058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002697063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002703897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711002707615
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711002726412
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.cdt.ui.editor.CEditor while still in the middle of activating part org.eclipse.ui.navigator.ProjectExplorer",1711002726785
